Condition,Model,ReceivedDate,SerialNumber,StockStatus,SupplierName,Note.0,updated_at,oldModelName,newModelName
USEB,PWR-2911-POE#JV#PACK8092,1536771600,AZS171005BW,0,39,wh by Phuong,2019-08-06T01:52:04.000Z,PWR-2911-POE#JV#PACK8092,PWR-2911-POE
USEB,PWR-2911-POE#JV#PACK8092,1536771600,AZS16220297,0,39,wh by Phuong,2019-08-06T01:52:04.000Z,PWR-2911-POE#JV#PACK8092,PWR-2911-POE
USEB,PWR-2911-POE#JV#PACK8092,1536771600,AZS150908S8,0,39,wh by Phuong,2019-08-06T01:52:04.000Z,PWR-2911-POE#JV#PACK8092,PWR-2911-POE
USEB,PWR-2921-51-POE#JV#PACK8092,1536771600,QCS1645F165,1,39,wh by Phuong,2019-08-06T01:52:04.000Z,PWR-2921-51-POE#JV#PACK8092,PWR-2921-51-POE
NOB,ME1200-4S-A#JV#PACK8092,1536771600,RTC181800BT,0,39,wh by Phuong,2019-08-06T01:52:04.000Z,ME1200-4S-A#JV#PACK8092,ME1200-4S-A
USEB,WS-F6700-DFC3C#JV#PACK8092#NEWREV#HOLO,1536771600,SAL1215LRUZ,0,39,wh by Phuong,2019-08-06T01:52:04.000Z,WS-F6700-DFC3C#JV#PACK8092#NEWREV#HOLO,WS-F6700-DFC3C
USEB,WS-F6700-DFC3C#JV#PACK8092#NEWREV#HOLO,1536771600,SAL1540RPAS,0,39,wh by Phuong,2019-08-06T01:52:04.000Z,WS-F6700-DFC3C#JV#PACK8092#NEWREV#HOLO,WS-F6700-DFC3C
USEA,C2960X-STACK#JV,1537117200,FOC174716LU,0,39,pack5559,2019-08-06T01:52:05.000Z,C2960X-STACK#JV,C2960X-STACK
USEA,C2960X-STACK#JV,1537117200,FOC17471716,0,39,pack5559,2019-08-06T01:52:05.000Z,C2960X-STACK#JV,C2960X-STACK
USEB,WS-C3560E-48PD-SF#JV#PACK8094,1537462800,FDO1446Y0QH,0,39,wh by Nam,2019-08-06T01:52:11.000Z,WS-C3560E-48PD-SF#JV#PACK8094,WS-C3560E-48PD-SF
USEB,ASA5500X-SSD120INC#ASA5500X-SSD120#JV#PACK9041,1537462800,MXA184208F7,0,39,wh by E,2019-08-06T02:05:21.000Z,ASA5500X-SSD120INC#ASA5500X-SSD120#JV#PACK9041,ASA5500X-SSD120INC
USEB,C3KX-PWR-715WAC#JV#PACK8111,1537462800,DCB1841A2FV,0,39,wh by Nam,2019-08-06T01:52:11.000Z,C3KX-PWR-715WAC#JV#PACK8111,C3KX-PWR-715WAC
USEB,CISCO2901/K9#JV,1537549200,FTX160686KQ,0,39,"From:  Natural Evolution, Inc.",2019-08-06T01:52:11.000Z,CISCO2901/K9#JV,CISCO2901/K9
USEB,CISCO2901/K9#JV,1537549200,FTX142981S5,0,39,"From:  Natural Evolution, Inc.",2019-08-06T01:52:11.000Z,CISCO2901/K9#JV,CISCO2901/K9
USEB,HWIC-D-9ESW-POE#JV,1537549200,FOC142666SD,0,39,"From:  Natural Evolution, Inc.",2019-08-06T01:52:11.000Z,HWIC-D-9ESW-POE#JV,HWIC-D-9ESW-POE
USEB,HWIC-D-9ESW-POE#JV,1537549200,FOC15211JA1,0,39,"From:  Natural Evolution, Inc.",2019-08-06T01:52:11.000Z,HWIC-D-9ESW-POE#JV,HWIC-D-9ESW-POE
USEB,VWIC2-1MFT-T1/E1#VWIC2-1MFT-T1E1#JV,1537549200,FOC15506N4W,1,39,"From:  Natural Evolution, Inc.",2019-08-06T02:05:21.000Z,VWIC2-1MFT-T1/E1#VWIC2-1MFT-T1E1#JV,VWIC2-1MFT-T1/E1
NIB,WS-C3650-48PD-L#JV,1537549200,FDO2142E00X,0,39,From:  aking324,2019-08-06T01:52:11.000Z,WS-C3650-48PD-L#JV,WS-C3650-48PD-L
NIB,SFP-H10GB-ACU10M#JV#PACK8094,1537722000,TED2132U07X,0,39,wh by E,2019-08-06T01:52:11.000Z,SFP-H10GB-ACU10M#JV#PACK8094,SFP-H10GB-ACU10M
NIB,QSFP-H40G-ACU10M#JV#9014-2,1537722000,MDM2145002S,1,39,wh by E,2019-08-06T01:52:11.000Z,QSFP-H40G-ACU10M#JV#9014-2,QSFP-H40G-ACU10M
NIB,QSFP-H40G-ACU10M#JV#9014-2,1537722000,MDM214501AT,1,39,wh by E,2019-08-06T01:52:11.000Z,QSFP-H40G-ACU10M#JV#9014-2,QSFP-H40G-ACU10M
NIB,QSFP-H40G-ACU10M#JV#9014-2,1537722000,MDM214501DR,1,39,wh by E,2019-08-06T01:52:11.000Z,QSFP-H40G-ACU10M#JV#9014-2,QSFP-H40G-ACU10M
NIB,QSFP-H40G-ACU10M#JV#PACK8094,1537722000,MDM2145019X,0,39,wh by E,2019-08-06T01:52:11.000Z,QSFP-H40G-ACU10M#JV#PACK8094,QSFP-H40G-ACU10M
NIB,QSFP-H40G-ACU10M#JV#PACK8094,1537722000,MDM203400A6,0,39,wh by E,2019-08-06T01:52:11.000Z,QSFP-H40G-ACU10M#JV#PACK8094,QSFP-H40G-ACU10M
NIB,QSFP-H40G-ACU10M#JV#PACK8094,1537722000,MDM20340075,0,39,wh by E,2019-08-06T01:52:11.000Z,QSFP-H40G-ACU10M#JV#PACK8094,QSFP-H40G-ACU10M
NIB,QSFP-H40G-ACU10M#JV#PACK8094,1537722000,MDM214501DK,0,39,wh by E,2019-08-06T01:52:11.000Z,QSFP-H40G-ACU10M#JV#PACK8094,QSFP-H40G-ACU10M
NIB,QSFP-H40G-ACU10M#JV#9014-2,1537722000,MDM214400AU,1,39,wh by E,2019-08-06T01:52:11.000Z,QSFP-H40G-ACU10M#JV#9014-2,QSFP-H40G-ACU10M
USEB,WS-C3750G-48PS-S#JV#PACK8121-2,1537722000,FOC1448W2C0,0,39,wh by viet,2019-08-06T01:52:12.000Z,WS-C3750G-48PS-S#JV#PACK8121-2,WS-C3750G-48PS-S
USEB,WS-C3750G-48PS-S#JV#PACK8121-2,1537722000,FOC1446Y1Z1,0,39,wh by viet,2019-08-06T01:52:12.000Z,WS-C3750G-48PS-S#JV#PACK8121-2,WS-C3750G-48PS-S
