Condition,Model,ReceivedDate,SerialNumber,StockStatus,SupplierName,Note.0,updated_at,oldModelName,newModelName
USEB,C3KX-NM-1G,1417107600,FDO15131LE6,0,39,osi hardware,2019-08-06T00:09:17.000Z,C3KX-NM-1G,C3KX-NM-1G
NIB,EHWIC-4ESG=,1417107600,FOC17227NHH,0,39,osi hardware,2019-08-06T00:09:17.000Z,EHWIC-4ESG,EHWIC-4ESG
NIB,CP-7937G=,1417107600,0004F2F02E4D,0,39,osi hardware,2019-08-06T00:09:17.000Z,CP-7937G,CP-7937G
USEB,ASA5520-BUN-K9,1417107600,JMX1414L00W,0,39,osi hardware,2019-08-06T00:09:17.000Z,ASA5520-BUN-K9,ASA5520-BUN-K9
USEB,ASA5520-BUN-K9,1417107600,JMX1414L011,0,39,osi hardware,2019-08-06T00:09:17.000Z,ASA5520-BUN-K9,ASA5520-BUN-K9
USEB,CISCO2901-SEC/K9,1417107600,FTX16438694,0,39,osi hardware,2019-08-06T01:26:26.000Z,CISCO2901-SEC/K9,CISCO2901-SEC/K9
USEB,CISCO1941-SEC/K9,1417107600,FGL170912N4,0,39,osi hardware,2019-08-06T01:26:26.000Z,CISCO1941-SEC/K9,CISCO1941-SEC/K9
USEB,C2960S-STACK,1417107600,FOC1511R2SB,0,39,osi hardware,2019-08-06T00:09:17.000Z,C2960S-STACK,C2960S-STACK
NIB,C2960S-STACK,1417107600,FOC1511R2RR,0,39,Wh by Trung,2019-08-06T00:09:17.000Z,C2960S-STACK,C2960S-STACK
USEB,C2960S-STACK,1417107600,FOC1511R2RY,0,39,osi hardware,2019-08-06T00:09:17.000Z,C2960S-STACK,C2960S-STACK
USEB,CISCO2821,1417107600,FHK1117F29G,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO2821,CISCO2821
USEB,WS-C2960G-8TC-L,1417366800,FOC1443V1RQ,0,39,osi hardware,2019-08-06T00:09:17.000Z,WS-C2960G-8TC-L,WS-C2960G-8TC-L
USEB,WS-C2960G-8TC-L,1417366800,FOC1432V65B,0,39,osi hardware,2019-08-06T00:09:17.000Z,WS-C2960G-8TC-L,WS-C2960G-8TC-L
USEB,WS-C2960G-8TC-L,1417366800,FOC1604V19A,0,39,osi hardware,2019-08-06T00:09:17.000Z,WS-C2960G-8TC-L,WS-C2960G-8TC-L
USEB,WS-C2960G-8TC-L,1417366800,FOC1432V5QR,0,39,osi hardware,2019-08-06T00:09:17.000Z,WS-C2960G-8TC-L,WS-C2960G-8TC-L
NIB,CP-7942G,1417366800,FCH17348RGH,0,39,osi hardware,2019-08-06T00:09:17.000Z,CP-7942G,CP-7942G
NIB,CP-7942G,1417366800,FCH17348HAX,0,39,osi hardware,2019-08-06T00:09:17.000Z,CP-7942G,CP-7942G
NIB,CP-7942G,1417366800,FCH17339U0U,0,39,osi hardware,2019-08-06T00:09:17.000Z,CP-7942G,CP-7942G
NIB,CP-7942G,1417366800,FCH17348RJW,0,39,osi hardware,2019-08-06T00:09:17.000Z,CP-7942G,CP-7942G
NIB,CP-7942G,1417366800,FCH17339UYF,0,39,osi hardware,2019-08-06T00:09:17.000Z,CP-7942G,CP-7942G
NIB,CP-7942G,1417366800,FCH1734888W,0,39,osi hardware,2019-08-06T00:09:17.000Z,CP-7942G,CP-7942G
NIB,CP-7942G,1417366800,FCH17338DML,0,39,osi hardware,2019-08-06T00:09:17.000Z,CP-7942G,CP-7942G
NIB,CP-7942G,1417366800,FCH17348H8M,0,39,osi hardware,2019-08-06T00:09:17.000Z,CP-7942G,CP-7942G
NIB,CP-7942G,1417366800,FCH17348HFC,0,39,osi hardware,2019-08-06T00:09:17.000Z,CP-7942G,CP-7942G
NIB,CP-7942G,1417366800,FCH17348E0M,0,39,osi hardware,2019-08-06T00:09:17.000Z,CP-7942G,CP-7942G
NIB,AIR-CAP1602E-A-K9,1417366800,FGL1808X5XT,0,39,osi hardware,2019-08-06T00:09:17.000Z,AIR-CAP1602E-A-K9,AIR-CAP1602E-A-K9
NIB,AIR-CAP1602E-A-K9,1417366800,FGL1808X5Y8,0,39,osi hardware,2019-08-06T00:09:17.000Z,AIR-CAP1602E-A-K9,AIR-CAP1602E-A-K9
NIB,AIR-CAP1602E-A-K9,1417366800,FGL1808X5Y7,0,39,osi hardware,2019-08-06T00:09:17.000Z,AIR-CAP1602E-A-K9,AIR-CAP1602E-A-K9
NIB,AIR-CAP1602E-A-K9,1417366800,FGL1808X5XD,0,39,osi hardware,2019-08-06T00:09:17.000Z,AIR-CAP1602E-A-K9,AIR-CAP1602E-A-K9
NIB,AIR-CAP1602E-A-K9,1417366800,FGL1808X5Z9,0,39,osi hardware,2019-08-06T00:09:17.000Z,AIR-CAP1602E-A-K9,AIR-CAP1602E-A-K9
NIB,AIR-CAP1602E-A-K9,1417366800,FGL1808X5XL,0,39,osi hardware,2019-08-06T00:09:17.000Z,AIR-CAP1602E-A-K9,AIR-CAP1602E-A-K9
NIB,AIR-CAP1602E-A-K9,1417366800,FGL1808X5Y4,0,39,osi hardware,2019-08-06T00:09:17.000Z,AIR-CAP1602E-A-K9,AIR-CAP1602E-A-K9
NIB,AIR-CAP1602E-A-K9,1417366800,FGL1808X5X9,0,39,osi hardware,2019-08-06T00:09:17.000Z,AIR-CAP1602E-A-K9,AIR-CAP1602E-A-K9
NIB,AIR-CAP1602E-A-K9,1417366800,FGL1808X5XQ,0,39,osi hardware,2019-08-06T00:09:17.000Z,AIR-CAP1602E-A-K9,AIR-CAP1602E-A-K9
NIB,AIR-CAP1602E-A-K9,1417366800,FGL1808X5Y5,0,39,osi hardware,2019-08-06T00:09:17.000Z,AIR-CAP1602E-A-K9,AIR-CAP1602E-A-K9
USEB,CISCO1941-SEC/K9,1417366800,FHK143370P0,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO1941-SEC/K9,CISCO1941-SEC/K9
USEB,ME-3400G-2CS-A,1417366800,FOC1244Z3T0,0,39,osi hardware,2019-08-06T00:09:17.000Z,ME-3400G-2CS-A,ME-3400G-2CS-A
USEB,ME-3400G-2CS-A,1417366800,FOC1521W3RP,0,39,osi hardware,2019-08-06T00:09:17.000Z,ME-3400G-2CS-A,ME-3400G-2CS-A
USEB,ME-3400G-2CS-A,1417366800,FOC1301V0ZR,0,39,osi hardware,2019-08-06T00:09:17.000Z,ME-3400G-2CS-A,ME-3400G-2CS-A
USEB,ME-3400G-2CS-A,1417366800,FOC1352V4PW,0,39,osi hardware,2019-08-06T00:09:17.000Z,ME-3400G-2CS-A,ME-3400G-2CS-A
USEB,ME-3400G-2CS-A,1417366800,FOC1646V1FT,0,39,osi hardware,2019-08-06T00:09:17.000Z,ME-3400G-2CS-A,ME-3400G-2CS-A
USEB,CISCO887VA-K9,1417366800,FGL1719210K,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO887VA-K9,CISCO887VA-K9
USEB,CISCO887VA-K9,1417366800,FGL160121TC,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO887VA-K9,CISCO887VA-K9
USEB,CISCO887VA-K9,1417366800,FGL1617252F,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO887VA-K9,CISCO887VA-K9
USEB,CISCO887VA-K9,1417366800,FGL1617253E,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO887VA-K9,CISCO887VA-K9
USEB,CISCO887VA-K9,1417366800,FGL161921A3,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO887VA-K9,CISCO887VA-K9
USEB,CISCO887VA-K9,1417366800,FGL165220CV,0,39,osi hardware,2019-08-06T01:26:27.000Z,CISCO887VA-K9,CISCO887VA-K9
USEB,CISCO887VA-K9,1417366800,FGL172721K9,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO887VA-K9,CISCO887VA-K9
USEB,CISCO887VA-K9,1417366800,FGL1619218E,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO887VA-K9,CISCO887VA-K9
USEB,CISCO887VA-K9,1417366800,FGL162826SL,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO887VA-K9,CISCO887VA-K9
USEB,CISCO887-K9,1417453200,FHK1448713E,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO887-K9,CISCO887-K9
USEB,CISCO887-K9,1417453200,FGL15042GHQ,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO887-K9,CISCO887-K9
USEB,CISCO887-K9,1417453200,FGL154522VQ,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO887-K9,CISCO887-K9
USEB,CISCO887-K9,1417453200,FHK143371V2,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO887-K9,CISCO887-K9
USEB,CISCO887-K9,1417453200,FHK1448715Q,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO887-K9,CISCO887-K9
USEB,CISCO887-K9,1417453200,FGL15042JHK,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO887-K9,CISCO887-K9
USEB,CISCO887-K9,1417453200,FGL15042JHZ,0,39,osi hardware,2019-08-06T00:09:17.000Z,CISCO887-K9,CISCO887-K9
USEB,CISCO887-SEC-K9,1417453200,FHK143471RT,0,39,"WH by Long,",2019-08-06T00:09:17.000Z,CISCO887-SEC-K9,CISCO887-SEC-K9
NOB,HWIC-1CE1T1-PRI=,1417453200,FOC1510271R,0,39,osi hardware,2019-08-06T00:09:17.000Z,HWIC-1CE1T1-PRI,HWIC-1CE1T1-PRI
USEB,CP-7937G,1417453200,0004F2EDC31A,0,39,osi hardware,2019-08-06T00:09:17.000Z,CP-7937G,CP-7937G
USEB,CP-7937G,1417453200,0004F2EDC40C,0,39,osi hardware,2019-08-06T00:09:17.000Z,CP-7937G,CP-7937G
USEB,VIC2-4FXO,1417453200,FOC11435LJY,0,39,osi hardware,2019-08-06T00:09:17.000Z,VIC2-4FXO,VIC2-4FXO
USEB,WS-X4712-SFP+E,1417453200,CAT1829L2UZ,0,39,osi hardware,2019-08-06T00:09:17.000Z,WS-X4712-SFP+E,WS-X4712-SFP+E
NIB,ME-3400EG-2CS-A,1417453200,FCW1827H0KG,0,39,osi hardware,2019-08-06T01:26:27.000Z,ME-3400EG-2CS-A,ME-3400EG-2CS-A
USEB,VIC-4FXS/DID,1417453200,FOC121314NW,0,39,osi hardware,2019-08-06T00:09:17.000Z,VIC-4FXS/DID,VIC-4FXS/DID
