Condition,Model,ReceivedDate,SerialNumber,StockStatus,SupplierName,Note.0,updated_at,oldModelName,newModelName
USEB,WS-C3560-48PS-S,1386954000,CAT1051ZKK3,0,39,Model Note:V04,2019-08-06T05:03:46.000Z,WS-C3560-48PS-S#WS-C3560-48PS-S ,WS-C3560-48PS-S
USEB,WS-C3560-48PS-S,1386954000,CAT1051ZKKA,0,39,Model Note:V04,2019-08-06T05:03:46.000Z,WS-C3560-48PS-S#WS-C3560-48PS-S ,WS-C3560-48PS-S
USEB,WS-C3560-48PS-S,1386954000,CAT1051NKQK,0,39,Model Note:V04,2019-08-06T05:03:46.000Z,WS-C3560-48PS-S#WS-C3560-48PS-S ,WS-C3560-48PS-S
USEB,WS-C3560-48PS-S,1386954000,CAT1051ZKKX,0,39,Model Note:V04,2019-08-06T05:03:46.000Z,WS-C3560-48PS-S#WS-C3560-48PS-S ,WS-C3560-48PS-S
USEB,WS-C3560-48PS-S,1386954000,CAT1051NKNQ,0,39,Model Note:V04,2019-08-06T05:03:46.000Z,WS-C3560-48PS-S#WS-C3560-48PS-S ,WS-C3560-48PS-S
USEC,WS-C3560-48PS-S,1386954000,FDO1213Y2U2,0,39,Side Damaged,2019-08-06T00:05:33.000Z,WS-C3560-48PS-S,WS-C3560-48PS-S
USEC,WS-C3560-48PS-S,1386954000,FDO1248X00C,0,39,Port Gi0/2 Damaged,2019-08-06T00:05:33.000Z,WS-C3560-48PS-S,WS-C3560-48PS-S
USEB,SFP-GE-Z,1386954000,SPC163009MH,0,39,"Antistatic Bag,
V01, WH",2019-08-06T00:05:42.000Z,SFP-GE-Z,SFP-GE-Z
USEA,CBS-DEL-X2-CX4#X2-10GB-CX4,1386954000,OSG12051722,0,39,"Antistatic bag broken, V03, WH",2019-08-06T00:37:03.000Z,CBS-DEL-X2-CX4#X2-10GB-CX4,CBS-DEL-X2-CX4
NOB,XENPAK-10GB-LR+=,1386954000,ONT1527010R,0,39,"V01, Bag broken",2019-08-06T00:05:42.000Z,XENPAK-10GB-LR+,XENPAK-10GB-LR+
USEB,XENPAK-10GB-LR,1386954000,INT0818M04F,0,39,"V01, Antistatic Bag",2019-08-06T00:05:42.000Z,XENPAK-10GB-LR,XENPAK-10GB-LR
USEB,XENPAK-10GB-CX4,1386954000,EMC09229073,0,39,"V01, Antistatic Bag",2019-08-06T00:05:42.000Z,XENPAK-10GB-CX4,XENPAK-10GB-CX4
USEB,GLC-GE-100FX=,1386954000,OPA15181239,0,39,"V01, Antistatic bag",2019-08-06T00:05:42.000Z,GLC-GE-100FX,GLC-GE-100FX
PART,GLC-GE-100FX=,1386954000,OPA15050502,1,39,"SMD.BOX.032; 02/12/2019
",2019-12-02T00:39:24.000Z,GLC-GE-100FX,GLC-GE-100FX
PART,GLC-GE-100FX=,1386954000,OPA12031755,0,39,"V01, Antistatic bag, broken part",2019-08-06T00:05:42.000Z,GLC-GE-100FX,GLC-GE-100FX
PART,GLC-GE-100FX=,1386954000,OPC10092213,0,39,"V01, Antistatic bag, broken part",2019-08-06T00:05:42.000Z,GLC-GE-100FX,GLC-GE-100FX
USEB,SFP-10G-LR,1386954000,FNS16120472,0,39,"v02, Antistatic, Need to retest before ship",2019-08-06T00:05:43.000Z,SFP-10G-LR,SFP-10G-LR
USEA,XFP-10G-MM-SR,1386954000,ONT151410UX,1,39,"V01,",2019-08-06T05:03:46.000Z,XFP-10G-MM-SR#XFP-10G-MM-SR ,XFP-10G-MM-SR
USEA,XFP-10G-MM-SR,1386954000,ONT151410UP,0,39,"V01,",2019-08-06T05:03:47.000Z,XFP-10G-MM-SR#XFP-10G-MM-SR ,XFP-10G-MM-SR
USEB,XFP-10GLR-OC192SR,1386954000,ONT1647013F,0,39,"V04, Antistatic Bag",2019-08-06T00:05:43.000Z,XFP-10GLR-OC192SR,XFP-10GLR-OC192SR
USEB,XFP-10GLR-OC192SR,1386954000,ONT1650052T,0,39,"V04, Antistatic Bag",2019-08-06T01:57:09.000Z,XFP-10GLR-OC192SR,XFP-10GLR-OC192SR
USEB,XFP-10GLR-OC192SR,1386954000,ONT165005AN,0,39,"V04, Antistatic Bag",2019-08-06T00:05:43.000Z,XFP-10GLR-OC192SR,XFP-10GLR-OC192SR
USEB,XFP-10GLR-OC192SR,1386954000,ONT1650044W,0,39,"V04, Antistatic Bag",2019-08-06T00:05:43.000Z,XFP-10GLR-OC192SR,XFP-10GLR-OC192SR
USEB,XFP-10GLR-OC192SR,1386954000,ONT165005E6,0,39,"V04, Antistatic Bag",2019-08-06T00:05:43.000Z,XFP-10GLR-OC192SR,XFP-10GLR-OC192SR
USEB,XFP-10GLR-OC192SR,1386954000,ECL1428009V,0,39,"V03, Antistatic Bag",2019-08-06T00:05:43.000Z,XFP-10GLR-OC192SR,XFP-10GLR-OC192SR
USEB,XFP-10GLR-OC192SR,1386954000,SPC15290A2C,0,39,"V03, Antistatic Bag",2019-08-06T00:05:43.000Z,XFP-10GLR-OC192SR,XFP-10GLR-OC192SR
USEB,XFP-10GLR-OC192SR,1386954000,SPC153105B1,0,39,"V03, Antistatic Bag",2019-08-06T00:05:43.000Z,XFP-10GLR-OC192SR,XFP-10GLR-OC192SR
USEB,XFP-10GLR-OC192SR,1386954000,SPC153309K7,0,39,"V03, Antistatic Bag",2019-08-06T00:05:43.000Z,XFP-10GLR-OC192SR,XFP-10GLR-OC192SR
USEB,XFP-10GLR-OC192SR,1386954000,ONT152610DG,0,39,"V03, Antistatic Bag",2019-08-06T01:57:09.000Z,XFP-10GLR-OC192SR,XFP-10GLR-OC192SR
NIB,XFP-10GLR-OC192SR,1386954000,ONT1044105M,0,39,"V02, Antistatic Bag",2019-08-06T01:57:09.000Z,XFP-10GLR-OC192SR,XFP-10GLR-OC192SR
USEA,XFP-10GLR-OC192SR,1386954000,AGA1520NJZY,0,39,"V03, WH,",2019-08-06T01:57:09.000Z,XFP-10GLR-OC192SR,XFP-10GLR-OC192SR
