Condition,Model,ReceivedDate,SerialNumber,StockStatus,SupplierName,Note.0,updated_at,oldModelName,newModelName
USEB,CISCO3945E/K9#JV#PACK3325,1447088400,FGL171910CV,0,39,WH BY GIANG,2019-08-06T01:58:50.000Z,CISCO3945E/K9#JV#PACK3325,CISCO3945E/K9
USEB,HWIC-4T#JV#PACK9035,1447174800,FOC11393FHT,1,39,wh by Giang,2019-08-06T00:13:57.000Z,HWIC-4T#JV#PACK9035,HWIC-4T
USEB,CISCO2901-V/K9#JV#,1447174800,FTX170885KL,0,39,Pack3004,2019-08-06T00:13:58.000Z,CISCO2901-V/K9#JV#,CISCO2901-V/K9
USEB,VIC3-2FXS/DID#JV#,1447174800,FOC16383BN3,0,39,Pack3004,2019-08-06T00:13:58.000Z,VIC3-2FXS/DID#JV#,VIC3-2FXS/DID
USEB,CISCO2901-V/K9#JV#,1447174800,FTX151001ED,0,39,Pack3006,2019-08-06T00:13:58.000Z,CISCO2901-V/K9#JV#,CISCO2901-V/K9
USEB,VIC2-4FXO#JV#,1447174800,FOC15010W33,0,39,Pack3006,2019-08-06T00:13:58.000Z,VIC2-4FXO#JV#,VIC2-4FXO
USEB,WS-C2960S-48FPS-L#JV,1447347600,FOC1526Y3R5,0,39,Wh by Trung,2019-08-06T00:14:04.000Z,WS-C2960S-48FPS-L#JV,WS-C2960S-48FPS-L
USEB,CISCO2911/K9#CISCO2911-SEC/K9#JV,1447347600,FGL161910RA,0,39,"wh by Giang
Return from Curvature
DAMAGE TO EHWIC PORT 3 = Fixed",2019-08-06T01:58:56.000Z,CISCO2911/K9#CISCO2911-SEC/K9#JV,CISCO2911/K9
USEB,CISCO2921-SEC/K9#JV#PACK3663,1447347600,FGL162510ML,0,39,wh by Giang,2019-08-06T00:14:05.000Z,CISCO2921-SEC/K9#JV#PACK3663,CISCO2921-SEC/K9
USEB,CISCO2921-SEC/K9#JV#RMA,1447347600,FGL164314H4,1,39,wh by Giang,2019-08-06T01:58:56.000Z,CISCO2921-SEC/K9#JV#PACK7021,CISCO2921-SEC/K9
USEB,WS-C3560X-48PF-S#JV#X01#P3120,1447347600,FDO1506P07Z,0,39,"Wh by Trung, Side damaged",2019-08-06T00:14:05.000Z,WS-C3560X-48PF-S#JV#X01#P3120,WS-C3560X-48PF-S
USEB,HWIC-2T#JV#P3069,1447347600,FOC14502FV3,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,HWIC-2T#JV#P3069,HWIC-2T
USEB,WS-C3560-24TS-S#JV#PACK8082,1447347600,CAT1022N222,0,39,wh by Giang,2019-08-06T00:14:05.000Z,WS-C3560-24TS-S#JV#PACK8082,WS-C3560-24TS-S
USEB,GLC-T#JV,1447434000,AGM15012256,0,39,Returned from Atlantix. No problem with this unit,2019-08-06T00:14:05.000Z,GLC-T#JV,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM141424WD,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM141424PT,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM1414235Y,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM141421VL,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#P3120,1447606800,AGM1414265D,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#P3120,GLC-T
USEB,GLC-T#JV#X03#P3120,1447606800,AGM142721TU,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#P3120,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM1414235S,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#P3120,1447606800,AGM142420LP,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#P3120,GLC-T
USEB,GLC-T#JV#X03#P3120,1447606800,AGM141424VN,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#P3120,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM1414264J,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM141424VW,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM142621DV,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM14142353,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
USEB,GLC-T#JV#X03#GL#PACK3277,1447606800,AGM140225EU,0,39,Wh by Trung,2019-08-06T00:14:05.000Z,GLC-T#JV#X03#GL#PACK3277,GLC-T
