8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:21","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"20","7","783","FGL1717X41G",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:21","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"21","7","783","FGL1715S94Q",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:22","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"22","7","783","FGL1715S94R",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:22","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"23","7","783","FGL1717X3B2",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:22","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"24","7","783","FGL1717X3Z7",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:22","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"25","7","783","FGL1717X3EE",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:22","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"26","7","783","FGL1717X43F",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:22","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"27","7","783","FGL1717X41F",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:22","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"28","7","783","FGL1717X3F8",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:22","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"29","7","783","FGL1717X3AJ",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:22","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"30","7","783","FGL1729X0F7",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:22","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"31","7","783","FGL1717X436",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:22","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"32","7","783","FGL1804W09H",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:23","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"33","7","783","FGL1717X439",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:23","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"34","7","783","FGL1711S8YZ",NULL,"8.BOX.0123; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 09:51:23","3000","1","1","8.BOX.0123",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"35","7","783","FGL1715S94V",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:08","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"36","7","783","FGL1717X3EH",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:08","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"37","7","783","FGL1717X40A",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:08","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"38","7","783","FGL1715S94Z",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:08","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"39","7","783","FGL1717X3AU",NULL,"8.BOX.0143; 07/05/2020
8.3.3.0.0; 27/03/2020wh by H",NULL,NULL,"2020-04-23 14:47:43","2020-05-07 10:27:08","3000","1","1","8.BOX.0143",NULL,"NC","Add by stock-check","1",NULL,NULL,NULL,NULL,NULL
"40","7","783","FGL1717X42Z",NULL,"8.BOX.0143; 07/05/2020
