Supplier,Condition,Model,ReceivedDate,SerialNumber,StockStatus,Note,oldModelName,newModelName
39,USEB,GLC-T,1446138000,AGM151120XP,0,"Wh by Trung,--osi hardware",GLC-T,GLC-T
39,USEB,SFP-GE-T,1446138000,MTC1438001W,0,"Wh by Trung,--osi hardware",SFP-GE-T,SFP-GE-T
39,USEB,SFP-GE-T,1446138000,MTC135001RP,0,"Wh by Trung,--osi hardware",SFP-GE-T,SFP-GE-T
39,USEB,SFP-GE-T,1446138000,MTC123502K7,0,"Wh by Trung,--osi hardware",SFP-GE-T,SFP-GE-T
39,USEB,SFP-GE-T,1446138000,MTC142106K0,0,"Wh by Trung,--osi hardware",SFP-GE-T,SFP-GE-T
39,USEB,SFP-GE-T,1446138000,MTC123502M0,0,"Wh by Trung,--osi hardware",SFP-GE-T,SFP-GE-T
39,USEB,GLC-SX-MM,1446397200,AGM1233155G,0,Wh by Trung--osi hardware,GLC-SX-MM,GLC-SX-MM
39,USEB,HWIC-3G-HSPA,1446397200,FOC14440G7H,0,Wh by Trung--osi hardware,HWIC-3G-HSPA,HWIC-3G-HSPA
39,USEB,CISCO2901/K9,1446397200,FHK144774BU,0,Wh by Trung--osi hardware,CISCO2901/K9,CISCO2901/K9
39,NOB,CP-7942G#CP-7962G,1446397200,FCH1712A1RH,0,Wh by Trung--osi hardware,CP-7942G#CP-7962G,CP-7942G
39,NOB,CP-7942G#CP-7962G,1446397200,FCH17129L21,0,Wh by Trung--osi hardware,CP-7942G#CP-7962G,CP-7942G
39,NOB,CP-7942G#CP-7962G,1446397200,FCH17129MH9,0,Wh by Trung--osi hardware,CP-7942G#CP-7962G,CP-7942G
39,USEB,HWIC-4T,1446397200,FOC10143T4Y,0,Wh by Trung--osi hardware,HWIC-4T,HWIC-4T
39,USEB,HWIC-4T,1446397200,FOC10425M98,1,"8.MD.BOX.36; 19/09/2019
--Wh by Trung",HWIC-4T,HWIC-4T
39,USEB,HWIC-4T,1446397200,FOC11393F9M,0,Wh by Trung--osi hardware,HWIC-4T,HWIC-4T
39,USEB,HWIC-4T,1446397200,FOC15016JE2,0,Wh by Trung--osi hardware,HWIC-4T,HWIC-4T
39,USEB,HWIC-4T,1446397200,FOC11393FPU,1,"8.MD.BOX.36; 19/09/2019
--Wh by Trung",HWIC-4T,HWIC-4T
