supplierId,modelId,serialNumber,price,note,conditionId,stockStatus,whlocationId,location,smartnet,addedBy,quantity
7,783,FGL1717X40D,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3E5,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X426,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1729X0GK,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3YU,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1715S94T,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1826S4C4,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1715S955,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3ZX,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1715S94S,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3Z9,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X408,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X43B,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X404,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1711S8Z8,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X414,NULL,"8.3.3.0.0; 27/03/2020
wh by N",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X41W,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X43R,NULL,"8.3.3.0.0; 27/03/2020
wh by H",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3CZ,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3CE,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3CX,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3CV,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3BM,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3CC,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X41C,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1729X0HF,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3BX,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3A0,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1729X0FG,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X41Y,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3BY,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X42U,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3CH,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3DA,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1711S8YD,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,783,FGL1717X3ZG,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,784,FGL1717X34W,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,784,FGL1742W6QX,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,784,FGL1717X354,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,784,FGL1717W3WJ,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,784,FGL1717S57N,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,784,FGL1717X35Y,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
7,784,FGL1717S590,NULL,"8.3.3.0.0; 27/03/2020
wh by viet",3000,1,1,8.3.3.0.0,NC,Add by stock-check,1
