Supplier,Model,SerialNumber,Condition,Note,ReceivedDate,StockStatus,
39,CAB-STK-E-0.5M#JV,IPS002921,NIB,"Pack#: Pack3339
From: Intellge
New in Box---NIB in box, or bag with 4x6"" label, confirmed by JOE---osi hardware---to CablesAndKits - PO48900",1464022800,0,
39,CAB-SPWR-30CM#JV,IPS004332,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004333,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004334,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004335,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004336,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO48708,49014",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004337,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004338,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO48708,49014",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004339,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO48708,49014",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004340,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004341,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004342,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004343,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004344,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004345,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004346,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004347,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004348,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004349,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004350,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,CAB-SPWR-30CM#JV,IPS004351,USEB,"Pack#: Pack3927
From :  fguevara4---to CablesAndKits - PO49805",1485363600,0,
39,EHWIC-BOX#JV,IPS004352,NOB,Blind ship for LSI to MES PO150351; 150362,1485363600,0,
39,EHWIC-BOX#JV,IPS004353,NOB,,1485363600,1,
39,EHWIC-BOX#JV,IPS004355,NOB,,1485363600,1,
39,EHWIC-BOX#JV,IPS004356,NOB,,1485363600,1,
39,C2960S-BLANK#JV,IPS004357,USEB,"Pack#: Pack3919
From: Â greenteksol---to Curvature US - PO1221141,1221444,1221452",1485363600,0,
39,C2960S-BLANK#JV,IPS004358,USEB,"Pack#: Pack3917			
From: meritonline---to Curvature US - PO1221141,1221444,1221452",1485363600,0,
39,C2960S-BLANK#JV,IPS004359,USEB,"Pack#: Pack3917			
From: meritonline---to Curvature US - PO1221141,1221444,1221452",1485363600,0,
39,C2960S-BLANK#JV,IPS004360,USEB,"Pack#: Pack3917			
From: meritonline---to Curvature US - PO1221141,1221444,1221452",1485363600,0,
39,C2960S-BLANK#JV,IPS004361,USEB,"Pack#: Pack3937
From :  refit-2.0---it outlet",1485709200,0,
39,C2960S-BLANK#JV,IPS004362,USEB,"Pack#: Pack3921
From: it-techdirect---to CXtec - POD720045",1485709200,0,
39,CAB-SPWR-30CM#JV,IPS004363,USEB,"Pack3927 
From: David Sciotto---to CablesAndKits - PO48708,49014",1485709200,0,
39,CAB-SPWR-30CM#JV,IPS004364,USEB,"Pack3927 
From: David Sciotto---to CablesAndKits - PO48708,49014",1485709200,0,
39,PWR-80W-AC#JV,DAB163154DC,USEB,"Pack#: Pack3918								
From: CiscoBuy---to Curvature US - PO1219544,1220805",1485709200,0,
39,PWR-80W-AC#JV,DAB16075139,USEB,"Pack#: Pack3918								
From: CiscoBuy---to Impulse Technology - PO27502",1485709200,0,
39,PWR-80W-AC#JV,DAB1646524Z,USEB,"Pack#: Pack3918								
From: CiscoBuy---to Impulse Technology - PO27502",1485709200,0,
39,ES-C48-300AC#JV,PAC18274TT1,USEB,"Pack#: Pack3916
From:   liquid8technolog---Checked by E - 6/6/19",1485709200,1,
39,ES-C48-300AC#JV,PAC18454USJ,USEB,"Pack#: Pack3916
From:   liquid8technolog",1485709200,1,
39,ES-C48-300AC#JV,PAC18274TG3,USEB,"Pack#: Pack3916
From:   liquid8technolog---Checked by E - 6/6/19",1485709200,1,
39,DS-C48-300AC#JV,PAC18454UP1,USEB,"Pack#: Pack3916
From:   liquid8technolog---Checked by E - 6/6/19",1485709200,1,
39,C2960S-BLANK#JV,IPS004657,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004658,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004659,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004660,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004661,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004662,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004663,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004664,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004665,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004666,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004667,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004668,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004669,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004670,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004671,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004672,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004673,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004674,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004675,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004676,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004677,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004678,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004679,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004680,USEB,To Curvature US - PO1222529,1487610000,0,
39,C2960S-BLANK#JV,IPS004681,USEB,To Curvature US - PO1222529,1487610000,0,
39,DS-C48-300AC#JV,PAC17044TNK,USEB,"Pack#: Pack3944
From: donedealits---Checked by E - 6/6/19",1485882000,1,
39,DS-C48-300AC#JV,PAC17044TT7,USEB,"Pack#: Pack3944
From: donedealits---Checked by E - 6/6/19",1485882000,1,
39,DS-SFP-FC8G-SW#JV,AGA17198FZ7,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198FXN,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198F6S,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198FZ3,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198F69,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198F6A,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198FXC,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198F6P,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198F05,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198FX7,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198FYY,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198FY8,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198FXR,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198EZN,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198FYZ,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198F6K,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198F04,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198FY9,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198F6N,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198FX5,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198FUY,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198FY3,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198F61,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,DS-SFP-FC8G-SW#JV,AGA17198EZY,USEB,"Pack#: Pack3944
From: donedealits---GENESIS GLOBAL HARDWARE---GENESIS GLOBAL HARDWARE",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004365,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004366,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004367,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004368,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004369,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004370,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004371,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004372,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004373,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004374,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004375,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004376,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004377,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004378,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004379,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004380,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004381,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004382,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
39,CAB-STK-E-0.5M#JV,IPS004383,USEB,"Pack#: Pack3932  Pack3933
From :  strong-it---to Curvature US - PO1219810,1220845",1485882000,0,
