Supplier,Condition,Model,ReceivedDate,SerialNumber,StockStatus,Note,oldModelName,newModelName
39,USEB,HWIC-1GE-SFP,1419872400,FOC11503Q0E,0,osi hardware--,HWIC-1GE-SFP,HWIC-1GE-SFP
39,USEB,HWIC-1GE-SFP,1419872400,FOC15222WC8,0,osi hardware--,HWIC-1GE-SFP,HWIC-1GE-SFP
39,USEB,HWIC-1GE-SFP,1419872400,FOC11503PTS,0,osi hardware--,HWIC-1GE-SFP,HWIC-1GE-SFP
39,USEB,GLC-LH-SM,1419872400,AGV16510EZ0,0,osi hardware--,GLC-LH-SM,GLC-LH-SM
39,USEB,GLC-LH-SM,1419872400,AGV16510G0S,0,osi hardware--,GLC-LH-SM,GLC-LH-SM
39,USEB,GLC-T,1419872400,MTC112603AR,0,osi hardware--,GLC-T,GLC-T
39,USEB,HWIC-4ESW,1419872400,FOC10330N4N,0,From Tram Hoang--osi hardware,HWIC-4ESW,HWIC-4ESW
39,USEA,HWIC-4ESW,1419872400,FOC153655EM,0,From Tram Hoang--Newable,HWIC-4ESW,HWIC-4ESW
39,USEA,HWIC-4ESW,1419872400,FOC154410GA,0,From Tram Hoang--Newable,HWIC-4ESW,HWIC-4ESW
39,USEA,HWIC-4ESW,1419872400,FOC15383J4R,0,From Tram Hoang--Newable,HWIC-4ESW,HWIC-4ESW
39,USEA,HWIC-4ESW,1419872400,FOC153655AY,0,From Tram Hoang--Newable,HWIC-4ESW,HWIC-4ESW
39,NOB,GLC-T,1419872400,MTC172501PB,0,From Tram Hoang--osi hardware,GLC-T,GLC-T
39,USEA,HWIC-4ESW,1419872400,FOC15440Z9W,0,From Tram Hoang--Newable,HWIC-4ESW,HWIC-4ESW
39,USEA,HWIC-4ESW,1419872400,FOC15441198,0,From Tram Hoang--Newable,HWIC-4ESW,HWIC-4ESW
39,USEA,HWIC-4ESW,1419872400,FOC15383JWU,0,From Tram Hoang--Newable,HWIC-4ESW,HWIC-4ESW
39,USEB,VWIC2-2MFT-T1/E1,1419958800,FOC1211167U,0,osi hardware--,VWIC2-2MFT-T1/E1,VWIC2-2MFT-T1/E1
39,USEB,ME-3400G-2CS-A,1419958800,FOC1425W6KP,0,Model Note:V03--osi hardware,ME-3400G-2CS-A,ME-3400G-2CS-A
39,USEB,WS-C3750-24PS-E,1419958800,CAT0916X1EY,0,osi hardware--,WS-C3750-24PS-E,WS-C3750-24PS-E
39,USEB,WS-C3750-24TS-S,1419958800,CAT0912K1P6,0,osi hardware--,WS-C3750-24TS-S,WS-C3750-24TS-S
39,USEB,WS-C3750G-24T-E,1419958800,CAT1117ZKDP,0,osi hardware--,WS-C3750G-24T-E,WS-C3750G-24T-E
39,USEB,WS-C3750-48PS-S,1419958800,FDO1350X0VH,0,osi hardware--,WS-C3750-48PS-S,WS-C3750-48PS-S
39,USEB,WS-C3750-48PS-S,1419958800,FDO1140X0TS,0,osi hardware--,WS-C3750-48PS-S,WS-C3750-48PS-S
39,USEB,WS-C3750-48PS-S,1419958800,FDO1247Y0GX,0,osi hardware--,WS-C3750-48PS-S,WS-C3750-48PS-S
39,USEB,WS-C3750-48PS-S,1419958800,CAT0813Y2A6,0,osi hardware--,WS-C3750-48PS-S,WS-C3750-48PS-S
39,USEB,WS-C3750-48PS-S,1419958800,CAT0806N1X8,0,osi hardware--,WS-C3750-48PS-S,WS-C3750-48PS-S
39,USEB,WS-C3750-48PS-S,1419958800,CAT0806Y16E,0,osi hardware--,WS-C3750-48PS-S,WS-C3750-48PS-S
39,USEB,WS-C3750-48PS-S,1419958800,CAT0806Y15Y,0,osi hardware--,WS-C3750-48PS-S,WS-C3750-48PS-S
39,USEB,WS-C3750-48PS-S,1419958800,FDO1331Y07N,0,osi hardware--,WS-C3750-48PS-S,WS-C3750-48PS-S
39,USEB,WS-C3750-48PS-S,1419958800,FDO1346R20C,0,osi hardware--,WS-C3750-48PS-S,WS-C3750-48PS-S
39,USEB,WS-C3750-48PS-S,1419958800,FDO1328Z2RT,0,osi hardware--,WS-C3750-48PS-S,WS-C3750-48PS-S
39,USEB,WS-C3750-48PS-S,1419958800,CAT0914Y0HM,0,osi hardware--,WS-C3750-48PS-S,WS-C3750-48PS-S
39,USEB,WS-C3750-48PS-S,1419958800,FDO1310Y0L0,0,osi hardware--,WS-C3750-48PS-S,WS-C3750-48PS-S
39,USEB,WS-C3750-48PS-S,1419958800,CAT1052NKV5,0,osi hardware--,WS-C3750-48PS-S,WS-C3750-48PS-S
39,USEB,WS-C3750-48PS-S,1419958800,FDO1141X1CT,0,osi hardware--,WS-C3750-48PS-S,WS-C3750-48PS-S
39,USEB,CISCO3845-SAA/K9#CISCO3845,1419958800,FHK1044F2FZ,0,osi hardware--,CISCO3845-SAA/K9#CISCO3845,CISCO3845-SAA/K9
39,USEB,CISCO3845-V/K9#CISCO3845,1419958800,FHK1006F1EY,0,osi hardware--,CISCO3845-V/K9#CISCO3845,CISCO3845-V/K9
39,USEB,CISCO3845,1419958800,FHK1339F01A,0,osi hardware--,CISCO3845,CISCO3845
39,USEB,CISCO3845,1419958800,FHK1334F159,0,osi hardware--,CISCO3845,CISCO3845
39,USEB,CISCO3845,1419958800,FHK1334F14Y,0,osi hardware--,CISCO3845,CISCO3845
39,USEB,CISCO3845,1419958800,FHK1339F019,0,osi hardware--,CISCO3845,CISCO3845
39,USEB,C3900-SPE150/K9,1419958800,FOC15324R1D,0,osi hardware--,C3900-SPE150/K9,C3900-SPE150/K9
39,USEB,DS-C9216I-K9,1419958800,FOX0914027Z,0,osi hardware--,DS-C9216I-K9,DS-C9216I-K9
39,USEB,DS-C9216I-K9,1419958800,FOX0914029X,0,osi hardware--,DS-C9216I-K9,DS-C9216I-K9
39,USEB,WS-C3750-24PS-S,1419958800,CAT1121NG5Q,0,osi hardware--,WS-C3750-24PS-S,WS-C3750-24PS-S
39,USEB,WS-C3750-48PS-S,1419958800,CAT1020Z483,0,osi hardware--,WS-C3750-48PS-S,WS-C3750-48PS-S
39,USEB,ASA5510-SEC-BUN-K9,1419958800,JMX0946K0LK,0,osi hardware--,ASA5510-SEC-BUN-K9,ASA5510-SEC-BUN-K9
39,USEB,CISCO2811,1419958800,FHK0943F248,0,osi hardware--,CISCO2811,CISCO2811
39,USEB,CISCO2811-V/K9#CISCO2811,1419958800,FHK0914F382,0,osi hardware--,CISCO2811-V/K9#CISCO2811,CISCO2811-V/K9
39,USEB,WS-C3550-48-SMI,1419958800,CAT0716R0DQ,0,osi hardware--,WS-C3550-48-SMI,WS-C3550-48-SMI
39,USEB,HWIC-1GE-SFP,1419958800,FOC133427JU,0,osi hardware--,HWIC-1GE-SFP,HWIC-1GE-SFP
39,USEB,HWIC-1GE-SFP,1419958800,FOC13334HK8,0,osi hardware--,HWIC-1GE-SFP,HWIC-1GE-SFP
39,USEB,HWIC-1GE-SFP,1419958800,FOC13375284,0,osi hardware--,HWIC-1GE-SFP,HWIC-1GE-SFP
39,USEB,C3900-SPE250/K9,1419958800,FOC15440WZ8,0,osi hardware--,C3900-SPE250/K9,C3900-SPE250/K9
39,NIB,WS-C2960X-24PD-L,1419958800,FCW1847A3CQ,0,osi hardware--,WS-C2960X-24PD-L,WS-C2960X-24PD-L
39,NIB,WS-C2960X-24PD-L,1419958800,FCW1847A3DS,0,osi hardware--,WS-C2960X-24PD-L,WS-C2960X-24PD-L
39,NIB,WS-C2960X-24PD-L,1419958800,FCW1847A3DM,0,osi hardware--,WS-C2960X-24PD-L,WS-C2960X-24PD-L
39,USEB,CISCO1841,1419958800,FHK093523FF,0,osi hardware--,CISCO1841,CISCO1841
39,USEB,CISCO1841,1419958800,FHK095353F6,0,osi hardware--,CISCO1841,CISCO1841
39,USEB,CISCO1841,1419958800,FHK1233252N,0,osi hardware--,CISCO1841,CISCO1841
39,USEB,CISCO1841,1419958800,FHK100521E7,0,osi hardware--,CISCO1841,CISCO1841
39,USEB,CISCO1841,1419958800,FHK120925EA,0,osi hardware--,CISCO1841,CISCO1841
39,USEB,CISCO1841,1419958800,FHK1312206X,0,osi hardware--,CISCO1841,CISCO1841
39,USEB,CISCO1841,1419958800,FHK143575WB,0,osi hardware--,CISCO1841,CISCO1841
39,USEB,CISCO881G-G-K9,1419958800,FHK143076KF,0,osi hardware--,CISCO881G-G-K9,CISCO881G-G-K9
39,USEB,CISCO881G-G-K9,1419958800,FGL162224MV,0,osi hardware--,CISCO881G-G-K9,CISCO881G-G-K9
39,USEB,CISCO887-K9,1419958800,FGL15042JF0,0,osi hardware--,CISCO887-K9,CISCO887-K9
39,USEB,CISCO887-K9,1419958800,FGL15042GW2,0,osi hardware--,CISCO887-K9,CISCO887-K9
39,USEB,CISCO881G-G-K9,1419958800,FGL161724PR,0,osi hardware--,CISCO881G-G-K9,CISCO881G-G-K9
39,USEB,WS-C3560-48PS-S,1419958800,FDO1147ZALH,0,osi hardware--,WS-C3560-48PS-S,WS-C3560-48PS-S
39,USEB,WS-C3560-48PS-S,1419958800,FDO1149Z90D,0,osi hardware--,WS-C3560-48PS-S,WS-C3560-48PS-S
39,USEB,WS-C3560-48PS-S,1419958800,CAT1127ZGT8,0,"WH,--osi hardware",WS-C3560-48PS-S,WS-C3560-48PS-S
39,USEB,WS-C3560-48PS-S,1419958800,FDO1223Y3Z2,0,osi hardware--,WS-C3560-48PS-S,WS-C3560-48PS-S
39,USEB,WS-C3560-48PS-S,1419958800,CAT1127ZGT2,0,osi hardware--,WS-C3560-48PS-S,WS-C3560-48PS-S
39,USEB,WS-C2960G-24TC-L,1419958800,FOC1015X21J,0,osi hardware--,WS-C2960G-24TC-L,WS-C2960G-24TC-L
39,USEB,WS-C2960G-24TC-L,1419958800,FOC1427Y3R8,0,osi hardware--,WS-C2960G-24TC-L,WS-C2960G-24TC-L
39,USEB,WS-C2960S-24PS-L,1419958800,FOC1644W27A,0,osi hardware--,WS-C2960S-24PS-L,WS-C2960S-24PS-L
39,USEB,WS-C2960S-24PS-L,1419958800,FOC1626W4FP,0,osi hardware--,WS-C2960S-24PS-L,WS-C2960S-24PS-L
39,USEB,ASA5510-SEC-BUN-K9,1419958800,JMX1028K0ND,0,osi hardware--,ASA5510-SEC-BUN-K9,ASA5510-SEC-BUN-K9
39,USEB,WS-C4948-S,1419958800,FOX1211G536,0,osi hardware--,WS-C4948-S,WS-C4948-S
39,USEB,WS-C4948-S,1419958800,FOX1211G53Z,0,osi hardware--,WS-C4948-S,WS-C4948-S
39,USEB,WS-C4948-S,1419958800,FOX1211G5JG,0,osi hardware--,WS-C4948-S,WS-C4948-S
39,USEB,WS-C4948-S,1419958800,FOX1208GFBG,0,osi hardware--,WS-C4948-S,WS-C4948-S
39,USEB,WS-C4948-S,1419958800,FOX1211G51W,0,osi hardware--,WS-C4948-S,WS-C4948-S
39,USEB,WS-C4948-S,1419958800,FOX1210GCHV,0,osi hardware--,WS-C4948-S,WS-C4948-S
39,USEB,WS-C4948-S,1419958800,FOX1208GF2S,0,osi hardware--,WS-C4948-S,WS-C4948-S
39,USEB,WS-C4948-S,1419958800,FOX1210G6YV,0,osi hardware--,WS-C4948-S,WS-C4948-S
39,USEB,WS-C4948-S,1419958800,FOX1213GDDF,0,osi hardware--,WS-C4948-S,WS-C4948-S
39,USEB,CISCO887G-K9,1419958800,FGL160420PS,0,osi hardware--,CISCO887G-K9,CISCO887G-K9
39,USEB,CISCO887G-K9,1419958800,FGL160420NC,0,"WH by Long,--osi hardware",CISCO887G-K9,CISCO887G-K9
39,USEB,CISCO887G-K9,1419958800,FGL15302249,0,"WH by Long,--osi hardware",CISCO887G-K9,CISCO887G-K9
39,USEB,CISCO887G-K9,1419958800,FGL160420PL,0,"WH by Long,--osi hardware",CISCO887G-K9,CISCO887G-K9
39,USEB,CISCO887G-K9,1419958800,FTX161386WA,0,"WH by Long,--osi hardware",CISCO887G-K9,CISCO887G-K9
39,USEB,CISCO887-K9,1419958800,FHK143371VC,0,osi hardware--,CISCO887-K9,CISCO887-K9
39,USEB,CISCO861-K9,1419958800,FGL153724FJ,0,osi hardware--,CISCO861-K9,CISCO861-K9
39,USEB,CISCO888G-K9,1419958800,FGL160224YJ,0,osi hardware--,CISCO888G-K9,CISCO888G-K9
39,USEB,CISCO1801,1419958800,FHK103150B9,0,osi hardware--,CISCO1801,CISCO1801
39,USEB,WS-C3560-24TS-S,1419958800,CAT1108ZHTY,0,osi hardware--,WS-C3560-24TS-S,WS-C3560-24TS-S
39,USEB,WS-C3560-24TS-S,1419958800,CAT1115RH3Q,0,osi hardware--,WS-C3560-24TS-S,WS-C3560-24TS-S
39,USEB,WS-C3560-24TS-S,1419958800,CAT1031RLKT,0,osi hardware--,WS-C3560-24TS-S,WS-C3560-24TS-S
39,USEB,WS-C3560-24TS-S,1419958800,CAT1031RLJN,0,osi hardware--,WS-C3560-24TS-S,WS-C3560-24TS-S
39,USEB,WS-C3560-24TS-S,1419958800,CAT1108ZHWA,0,osi hardware--,WS-C3560-24TS-S,WS-C3560-24TS-S
39,USEB,WS-C3560-24PS-S,1419958800,CAT1043ZGFP,0,osi hardware--,WS-C3560-24PS-S,WS-C3560-24PS-S
39,USEB,CISCO1841,1419958800,FHK091323B6,0,"WH by Long,--osi hardware",CISCO1841,CISCO1841
39,USEB,CISCO1841,1419958800,FHK121820R8,0,"WH by Long,--osi hardware",CISCO1841,CISCO1841
39,USEB,CISCO1841,1419958800,FTX0932W1XP,0,"WH by Long,--osi hardware",CISCO1841,CISCO1841
39,USEB,CISCO1841,1419958800,FTX0927W1MB,0,osi hardware--,CISCO1841,CISCO1841
