SupplierID,Model,SerialNumber,Condition,SmartNet,Note,ReceivedDate,StockStatus
39,GLC-GE-100FX#JV#X01,OPA10291061,NIB,NC,Wh by Trung--Pack3045to Timothy P McAlister for Teksavers - PO98684osi hardware,1386954000,0
39,GLC-GE-100FX#JV#X01#P3176,OPC10092258,USEB,NC,wh by Trung--to Technology & Finance International - PO3425osi hardware,1386954000,0
39,GLC-GE-100FX#JV#X01#P3176,OPC10100433,USEB,NC,Wh by Trung--to Technology & Finance International - PO3425osi hardware,1386954000,0
39,DS-SFP-FC8G-SW#JV#PACK7063,AGD15478GZ9,USEB,NC,wh by E--Checked by E - 6/6/19,1482339600,1
39,NIM-2GE-CU-SFP#JV,FOC23181D1C,NIB,NC,"to DATA HARDWARE DEPOT, LP - PO34921--",1574269200,0
39,NIM-2GE-CU-SFP#JV,FOC23192QC6,NIB,NC,"Blind ship for Triton Datacom, - PO7542--",1574269200,0
39,C4KX-FAN-R#JV,DCH1629D021,USEB,NC,--,1574269200,1
39,C4KX-FAN-R#JV,DCH1629D063,USEB,NC,--,1574269200,1
39,C4KX-FAN-R#JV,DCH1629D070,USEB,NC,--,1574269200,1
39,C4KX-FAN-R#JV,DCH1629D028,USEB,NC,--,1574269200,1
39,C4KX-FAN-R#JV,DCH1629D056,USEB,NC,--,1574269200,1
39,C4KX-FAN-R#JV,DCH1629D014,USEB,NC,--,1574269200,1
39,C4KX-FAN-R#JV,DCH1629D042,USEB,NC,--,1574269200,1
39,C4KX-FAN-R#JV,DCH1629D007,USEB,NC,--,1574269200,1
39,C4KX-FAN-R#JV,DCH1629D049,USEB,NC,--,1574269200,1
39,C4KX-FAN-R#JV,DCH1629D035,USEB,NC,--,1574269200,1
39,CAB-STK-E-0.5M#JV,IPS012986,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012985,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012984,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012983,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012982,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012981,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012980,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012979,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012978,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012977,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012976,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012975,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012974,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012973,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012972,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012971,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012970,USEB,NC,--,1574269200,0
39,CAB-STK-E-0.5M#JV,IPS012969,USEB,NC,--,1574269200,0
39,PWR-2811-AC-IP#JV,HIC09172409,USEB,NC,PACK6258--,1574701200,0
39,PWR-2811-AC-IP#JV,HIC1151C28W,USEB,NC,PACK6258--,1574701200,0
39,C3850-NM-2-40G#JV,FOC22217QB9,USEB,NC,to CXtec DISTRIBUTION CENTER - POD879256--,1575046800,0
39,ME-3400G-2CS-A#JV,FOC1821Z1WL,USEB,NC,--,1575133200,1
39,ME-3400G-2CS-A#JV,FOC1421Y2NB,USEB,NC,to BE Networks - IO20-0618--,1575133200,0
39,ME-3400G-2CS-A#JV,FOC1323V282,USEB,NC,Note: many scratches--,1575133200,1
39,ME-3400G-2CS-A#JV,FOC1702X036,USEB,NC,Note: many scratches--,1575133200,1
39,WS-X4548-GB-RJ45V#JV#RMA,JAE15080EQK,USEB,NC,"Pack6269--to DATA HARDWARE DEPOT, LP - PO34946to DATA HARDWARE DEPOT, LP - PO34984
Returned, tested OK",1575133200,1
39,N2200-PAC-400W-B#JV#PACK20022,LIT17260FJV,USEB,NC,wh by Khang--to CablesAndKits - PO67409,1575219600,0
39,N3K-C3064PQ-10GX#JV#PACK20025,FOC1942R0K3,USEB,Clean,wh by Khang--,1575306000,1
39,PVDM3-64#JV#X01#PACK3277,FOC16490UWF,NIB,NC,"WH by Trung, No Box, New Able--To OSI Hardware PO135202osi hardware",1398099600,0
39,PVDM3-64#JV#X01#PACK3277,FOC16490UW9,NIB,NC,"WH by Trung, No Box, New Able--To OSI Hardware PO135202osi hardware",1398099600,0
39,DS-SFP-FC8G-SW#JV#PACK7063,AGA16198B32,USEB,NC,wh by E--Checked by E - 6/6/19,1482339600,1
39,X2-10GB-LR#JV#PACK9121-2,ONT172202D7,USEB,NC,wh by viet--to Cuadrant LLC - PO5353,1568739600,0
39,X2-10GB-LR#JV#PACK9121-2,ONT172202DS,USEB,NC,wh by viet--to Cuadrant LLC - PO5353,1568739600,0
39,QSFP-100G-LR4-S#JV#PACK9114-2,FNS22150EYT,USEB,NC,wh by viet--to AH TECHNOLOGY SOLUTIONS CORP - PO310583,1574269200,0
